tanggal,sumber,nama,teks
2026-05-01,Google Form,Andi,"Jalan menuju dusun kami rusak parah dan butuh diperbaiki segera karena sangat berbahaya saat hujan."
2026-05-02,WhatsApp, Siti,"Pelayanan surat di kantor desa sudah lebih cepat dan petugasnya ramah, terima kasih."
2026-05-03,Facebook,Budi,"Lampu jalan di RT 03 mati sejak minggu lalu sehingga warga merasa rawan pada malam hari."
2026-05-04,Google Form,Rina,"Mohon bantuan untuk sampah yang menumpuk di dekat sungai karena baunya sangat mengganggu."
2026-05-05,Instagram,Deni,"Program beasiswa untuk siswa kurang mampu sangat membantu dan perlu dipertahankan."
2026-05-06,Google Form,Nina,"Drainase di depan rumah sering tersumbat dan menyebabkan banjir kecil setiap hujan deras."
2026-05-07,WhatsApp,Agus,"Proses administrasi kartu keluarga masih lama dan membingungkan bagi warga lanjut usia."
2026-05-08,Facebook,Maya,"Posyandu berjalan baik, tetapi kami berharap stok obat dan pemeriksaan kesehatan lebih lengkap."
2026-05-09,Google Form,Hendra,"Pasar desa perlu ditata agar pedagang kecil bisa berjualan dengan nyaman dan ekonomi warga meningkat."
2026-05-10,Instagram,Lina,"Terima kasih atas gotong royong kemarin, lingkungan menjadi lebih bersih dan tertata."
